countrycode,party_abbr,party_id,year_first,year_last,seat_share,year
CZE,HSD- SMS,200004,1992,2002,7,1992
CZE,ODA,200013,1992,2002,7,1992
CZE,USVIT,200006,2013,2013,7,2013
LVA,L,230003,1993,1993,7,1993
LVA,PS,230025,2006,2006,7,2006
LVA,NSL,230034,2014,2014,7,2014
EST,Sõlt,210013,1992,1992,6.9,1992
SVN,ZaAB,290019,2014,2018,6.9,2018
IRL,CnP,90006,1948,1965,6.8,1948
ITA,Mon.,100021,1948,1968,6.8,1953
ROU,ALDE,270023,2012,2016,6.8,2012
BEL,G,20006,1981,2019,6.7,2019
ISL,ASD,80009,1983,1983,6.7,1983
SVN,Others/Indep.,290099,1990,2018,6.7,2018
BEL,RW,20008,1965,1981,6.6,1971
ESP,IU,150005,1977,2019,6.6,1979
POL,N,260027,2015,2019,6.6,2015
HRV,LIBRA,300010,2000,2003,6.6,2000
FIN,LKP,40008,1945,1991,6.5,1954
ITA,CCD-CDU-UDC,100016,1994,2013,6.5,2001
ITA,Ex Left,100001,1976,2006,6.5,2006
ITA,SEL-SI,100033,2013,2013,6.5,2013
GRC,DIMAR,70009,2012,2012,6.3,2012
ISL,THPM,80007,1995,1995,6.3,1995
ISL,LP,80013,1999,2007,6.3,2003
ISL,CM,80016,2009,2009,6.3,2009
ITA,SC,100032,2013,2013,6.2,2013
BGR,SK,180015,2009,2009,6.2,2009
BGR,BBZ,180018,2014,2014,6.2,2014
BGR,Others/Indep.,180099,1990,2017,6.2,2017
SVN,SSS,290001,1990,1990,6.2,1990
POL,PL,260012,1991,1993,6.1,1991
AUT,LF,10007,1994,1995,6,1994
AUT,FRANK,10009,2013,2013,6,2013
ESP,PDP,150018,1986,1986,6,1986
LVA,LKDS,230015,1993,2011,6,1993
LVA,TT,230010,1995,1995,6,1995
LVA,LZP,230021,1993,1995,6,1995
ROU,UNPR,270008,2008,2012,6,2012
EST,EKod,210012,1992,1995,5.9,1992
EST,VD,210006,1992,1992,5.9,1992
EST,EÜRP,210001,1995,2007,5.9,1995
EST,EPPE,210002,1995,1995,5.9,1995
EST,AP,210004,1995,1999,5.9,1995
EST,ERoh,210011,2007,2011,5.9,2007
POL,S,260011,1991,1991,5.9,1991
BGR,EL,180003,1994,2005,5.8,1997
BGR,NV,180012,2001,2009,5.8,2001
BGR,IBG-NI,180025,2021,2021,5.8,2021
LTU,LLRA,240003,1992,2020,5.8,2012
ROU,PC,270013,1992,2012,5.8,2004
GRC,TP,70013,2015,2015,5.7,2015
ITA,PSDI,100011,1948,1992,5.7,1948
ITA,FLI,100037,2008,2008,5.7,2008
SVN,Konkretno,290023,2018,2022,5.7,2022
DNK,Alt,30018,2015,2022,5.6,2015
DEU,GB-BHE,60010,1953,1953,5.5,1953
ROU,PMP,270025,2016,2016,5.5,2016
FRA,V,50003,1986,2022,5.4,2022
ESP,CDS,150016,1982,1989,5.4,1986
BGR,BBB,180004,1994,2001,5.4,1994
BGR,BNS,180009,2005,2005,5.4,2005
GRC,EDIK,70012,1977,1977,5.3,1977
GRC,LAOS,70020,2007,2009,5.3,2009
ITA,A-IV,100062,2022,2022,5.3,2022
NLD,DS70,120015,1971,1977,5.3,1971
NLD,FvD,120030,2017,2021,5.3,2021
HRV,HSP,300022,1992,2007,5.3,2003
PRT,CH,140016,2019,2022,5.2,2022
BEL,FDF,20009,1965,2019,5.1,1978
ESP,CIU,150013,1977,2019,5.1,1986
HUN,M,220015,2022,2022,5.1,2022
LTU,DK,240004,2012,2020,5.1,2012
DNK,KrF,30011,1973,2001,5,1975
FIN,SKL,40009,1970,2023,5,1999
FRA,Others/Indep.,50099,1958,2017,5,1958
BGR,NI,180006,1991,1991,5,1991
BGR,Volya,180019,2017,2017,5,2017
BGR,BV,180028,2021,2022,5,2021
CZE,KDS,200012,1992,1992,5,1992
LVA,DCP,230013,1993,1993,5,1993
LVA,LSP,230001,1995,2002,5,1995
SVK,Siet',280019,2016,2016,5,2016
SVN,SMS,290005,2000,2000,4.9,2000
NLD,PB-RVP,120023,1963,1977,4.7,1967
NLD,PPR,120006,1971,1986,4.7,1972
NOR,RD,130011,2017,2021,4.7,2021
ROU,PLR,270022,1990,2016,4.7,2012
ITA,PRI,100017,1946,1992,4.6,1983
ITA,IdV,100027,2006,2013,4.6,2008
ITA,PT-CN,100038,2008,2008,4.6,2008
ITA,NCD,100036,2013,2018,4.6,2013
BGR,ABV,180022,2014,2014,4.6,2014
HUN,LMP,220007,2010,2022,4.5,2018
AUT,PILZ,10003,2017,2017,4.4,2017
ROU,PL93,270020,1992,1996,4.4,1992
IRL,SD,90003,2016,2020,4.3,2020
ITA,UDR-UDEUR,100015,1996,2006,4.3,1996
DEU,DP,60012,1949,1957,4.2,1949
DEU,BP,60014,1949,1949,4.2,1949
IRL,WP-DL,90002,1981,1997,4.2,1989
BGR,RZS,180007,2009,2009,4.2,2009
ITA,RI,100014,1996,1996,4.1,1996
ITA,Others/Indep.,100099,1946,2022,4.1,1996
NLD,CU,120024,2002,2021,4.1,2006
FIN,Others/Indep.,40099,1945,2015,4,1966
GRC,EL,70023,2019,2023,4,2023
GRC,SPA,70025,2023,2023,4,2023
