"id","country_short","country","party_short","party_english","party_name","name","year_first","year_last","comment","ess_round_1","ess_round_2","ess_round_3","ess_round_4","ess_round_5","ess_round_6"
1145,"DNK","Denmark","","New alliance / Liberal Alliance","","liberal alliance liberal alliance",2008,2012,"","","","","Ny Alliance - New alliance","Ny Alliance - New alliance","Liberal Alliance - Liberal Alliance"
1257,"DNK","Denmark","SF","Socialist People's Party","Socialistisk Folkeparti","sf socialistisk folkeparti socialist people s party",2002,2012,"","Socialistisk Folkeparti","Socialistisk Folkeparti","Socialistisk Folkeparti","SF- Socialistisk Folkeparti - the Socialist People's Party","SF- Socialistisk Folkeparti - the Socialist People's Party","SF Socialistisk Folkeparti - Socialist People's Party"
1496,"DNK","Denmark","","Danish Social Democtrats","Socialdemokratiet","socialdemokraterne the danish social democtrats",2002,2012,"","Socialdemokratiet","Socialdemokratiet","Socialdemokratiet","Socialdemokraterne - the Danish social democtrats","Socialdemokraterne - the Danish social democtrats","Socialdemokraterne - the Danish social democtrats"
1265,"DNK","Denmark","","","Venstre / Danmarks Liberale Parti","venstre danmarks liberale parti venstre",2002,2012,"","Venstre","Venstre","Venstre","Venstre, Danmarks Liberale Parti - Venstre","Venstre, Danmarks Liberale Parti - Venstre","Venstre, Danmarks Liberale Parti - Venstre"
1592,"ESP","Spain","AMAIUR","","","amaiur",2012,2012,"","","","","","","AMAIUR"
1500,"ESP","Spain","","Blank vote","","blank vote",2004,2010,"","","Blank vote","Blank vote","Blank vote","Blank vote",""
1415,"ESP","Spain","BNG","Bloque Nacionalista Galego","","bloque nacionalista galego bng",2002,2012,"","Bloque Nacionalista Galego (BNG)","Bloque Nacionalista Galego (BNG)","Bloque Nacionalista Galego (BNG)","Bloque Nacionalista Galego (BNG)","Bloque Nacionalista Galego (BNG)","Bloque Nacionalista Galego (BNG)"
1777,"ESP","Spain","CHA","Chunta Aragonesista","","chunta aragonesista cha",2002,2006,"","Chunta Aragonesista (CHA)","Chunta Aragonesista (CHA)","Chunta Aragonesista (CHA)","","",""
1248,"ESP","Spain","CC/CC-PNC","Coalición Canaria / Partido Nacionalista Canario","","coalición canaria nueva canarias",2002,2012,"","Coalición Canaria (CC)","Coalición Canaria (CC)","Coalición Canaria (CC)","Coalición Canaria-Partido Nacionalista Canario (CC-PNC)","Coalición Canaria-Partido Nacionalista Canario (CC-PNC)","Coalición Canaria - Nueva Canarias"
1251,"ESP","Spain","EQUO","Compromís","","compromís equo",2012,2012,"","","","","","","Compromís - EQUO"
1023,"ESP","Spain","","Convergència i Unió CiU","","convergència i unió ciu",2002,2012,"","Convergència i Unió (CiU)","Convergència i Unió (CiU)","Convergència i Unió (CiU)","Convergència i Unió (CiU)","Convergència i Unió (CiU)","Convergència i Unió (CiU)"
1320,"ESP","Spain","ERC","Esquerra Repubicana de Catalunya","","esquerra republicana de catalunya erc",2002,2012,"","Esquerra Repubicana de Catalunya (ERC)","Esquerra Repubicana de Catalunya (ERC)","Esquerra Repubicana de Catalunya (ERC)","Esquerra Repubicana de Catalunya (ERC)","Esquerra Repubicana de Catalunya (ERC)","Esquerra Republicana de Catalunya (ERC)"
1876,"ESP","Spain","EA","Eusko Alkartasuna","","eusko alkartasuna ea",2002,2006,"","Eusko Alkartasuna (EA)","Eusko Alkartasuna (EA)","Eusko Alkartasuna (EA)","","",""
1101,"ESP","Spain","","Foro de Ciudadanos","","foro de ciudadanos",2012,2012,"","","","","","","Foro de Ciudadanos"
1522,"ESP","Spain","","Geroa Bai","","geroa bai",2012,2012,"","","","","","","Geroa Bai"
1761,"ESP","Spain","ICV","Iniciativa per Catalunya-Verds","","iniciativa per catalunya verds icv",2002,2006,"","Iniciativa per Catalunya-Verds (ICV)","Iniciativa per Catalunya-Verds (ICV)","Iniciativa per Catalunya-Verds (ICV)","","",""
1057,"ESP","Spain","IU","Izquierda Unida","","izquierda unida iu icv en cataluña",2002,2012,"","Izquierda Unida (IU)","Izquierda Unida (IU)","Izquierda Unida (IU)","Izquierda Unida (IU)","Izquierda Unida (IU)","Izquierda Unida (IU)-(ICV en Cataluña)"
1398,"ESP","Spain","NA-BAI","Nafarroa-Bai","","nafarroa bai na bai",2004,2010,"","","Nafarroa-Bai (NA-BAI)","Nafarroa-Bai (NA-BAI)","Nafarroa-Bai (NA-BAI)","Nafarroa-Bai (NA-BAI)",""
1418,"ESP","Spain","","Other","","otro",2002,2012,"","Other","Other","Other","Other","Other","Otro"
1447,"ESP","Spain","PA","Partido Andalucista","","partido andalucista pa",2002,2006,"","Partido Andalucista (PA)","Partido Andalucista (PA)","Partido Andalucista (PA)","","",""
1593,"ESP","Spain","PNV","Partido Nacionalista Vasco / Partido Nacionalista Basco","","partido nacionalista basco pnv",2002,2012,"","Partido Nacionalista Vasco (PNV)","Partido Nacionalista Vasco (PNV)","Partido Nacionalista Vasco (PNV)","Partido Nacionalista Vasco (PNV)","Partido Nacionalista Vasco (PNV)","Partido Nacionalista Basco (PNV)"
1490,"ESP","Spain","PP","Partido Popular","","partido popular pp",2002,2012,"","Partido Popular (PP)","Partido Popular (PP)","Partido Popular (PP)","Partido Popular","Partido Popular","Partido Popular (PP)"
1748,"ESP","Spain","PSOE","Partido Socialista Obrero Español","","partido socialista obrero español psoe",2002,2012,"","Partido Socialista Obrero Español (PSOE)","Partido Socialista Obrero Español (PSOE)","Partido Socialista Obrero Español (PSOE)","Partido Socialista Obrero Español (PSOE)","Partido Socialista Obrero Español (PSOE)","Partido Socialista Obrero Español (PSOE)"
1635,"ESP","Spain","","","Spoiled vote","spoiled vote",2004,2010,"","","Spoiled vote","Spoiled vote","Spoiled vote","Spoiled vote",""
1779,"ESP","Spain","UP","Unión, Progreso y Democracia","","unión progreso y democracia upyd",2008,2012,"","","","","Unión Progreso y Democracia (UPyD)","Unión Progreso y Democracia (UPyD)","Unión, Progreso y Democracia (UPyD)"
1238,"ESP","Spain","","Votó en blanco","","votó en blanco",2012,2012,"","","","","","","Votó en blanco"
1596,"ESP","Spain","","Votó nulo","","votó nulo",2012,2012,"","","","","","","Votó nulo"
1619,"EST","Estonia","","","campaigner","campaigner",2008,2008,"","","","","campaigner","",""
