"country","party_id","party_abbrev","party_name","party_name_english"
"LITH",2505,"LLS; LiCS","Lietuvos liberal sąjunga; Liberalu ir centro sąjunga","Liberal Union of Lithuanian; Liberal and Centre Union"
"LITH",2506,"TS-LKD","Tėvynės sąjunga—Lietuvos krikščionys demokratai","Homeland Union—Lithuanian Christian Democrats"
"LITH",2507,"LVP; LVLS; LVZS","Lietuvos valstieči partija; Valstieciu ir Naujosios demokratijos partiju sajungos; Lietuvos valstieči ir Žalij sąjunga","Lithuanian Peasant Party; Lithuanian Peasant Popular Union; Lithuanian Peasant and Greens Union"
"LITH",2508,"LKDP","Lietuvos krikščionys demokratai","Lithuanian Christian Democrats"
"LITH",2509,"LCS","Lietuvos centro sąjunga","Center Union of Lithuania"
"LITH",2510,"NKS","Nuosaikiuju konservatoriu sąjunga","Moderate Conservative Union"
"LITH",2511,"LLRA","Lietuvos lenk rinkim akcija","Electoral Action of Lithuania’s Poles"
"LITH",2512,"LLS","Lietuvos laisvės sąjunga","Lithuanian Liberty Union"
"LITH",2513,"JL-PKS","Lietuviu Nacionaline Partija—“Jaunoji Lietuva”","Young Lithuania—New Nationalists and Political Prisoner’s Union"
"LITH",2514,"MKDS","Moderniji krikščioni demokrat sąjunga","Modern Christian-Democratic Union"
"LITH",2515,"TT","Tvarka ir teisingumas","Order and Justice"
"LITH",2516,"DP","Darbo partija","Labour Party"
"LITH",2517,"TPP","Tautos prisikelimo partija","National Resurrection Party"
"LITH",2518,"LRLS","Lietuvos Respublikos Liberal Sąjudis; Liberal Sąjudis","Liberals’ Movement of the Republic of Lithuania; Liberal Movement"
"LITH",2519,"FRONT","Fronto Partija","Front Party"
"LITH",2520,"DK","Drąsos Kelias","The Way of Courage"
"POL",2601,"SLD","Sojusz Lewicy Demokratycznej","Alliance of Democratic Left"
"POL",2602,"UP","Unia Pracy","Union of Labour"
"POL",2603,"PO","Platforma Obywatelska","Civic Platform"
"POL",2604,"S","Samoobrona RP","Self Defense of the Polish Republic"
"POL",2605,"PiS","Prawo i Sprawiedliwość","Law and Justice Party"
"POL",2606,"PSL","Polskie Stronnictwo Ludowe","Polish People’s Party"
"POL",2607,"LPR","Liga Polskich Rodzin","League of Polish Families"
"POL",2608,"AWSP","Koalicja Akcja Wyborcza Solidarność Prawicy","Coalition Electoral Action Solidarity of the Right"
"POL",2609,"UW; PD","Unia Wolności; Partia Demokratyczna","Freedom Union; Democratic Party"
"POL",2611,"SDPL","Socjaldemokracja Polska","Social Democracy of Poland"
"POL",2612,"SD","Stronnictwo Demokratyczne","Democratic Party"
"POL",2613,"RP","Twój Ruch (Ruch Palikota)","Your Movement (Palikot’s Movement)"
"POL",2614,"KNP","Kongres Nowej Prawicy","Congress of the New Right"
"POL",2615,"PR","Polska Razem","Poland Together"
"POL",2616,"SP","Solidarna Polska","United Poland"
"ROM",2701,"PSD","Partidul Social Democrat","Social Democratic Party"
"ROM",2702,"PUR; PC","Partidul Umanist din Romania; Partidul Conservator","Romanian Humanist Party; Conservative Party"
"ROM",2703,"PRM","Partidul România Mare","Party of Great Romania"
"ROM",2704,"PDL","Partidul Democrat","Democratic Party"
"ROM",2705,"PNL","Partidul Naţional Liberal","National Liberal Party"
